ID	OldID	Name	Chebi	Compartment	Formula
M_6nadgpi		6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-)	CHEBI:12194	c | m | n	C19H29NO18PR2
M_6pgc		6-Phospho-D-gluconate(3-)	CHEBI:48928;CHEBI:40282	c | m	C6H10O10P
M_6pgl		6-phospho-D-glucono-1,5-lactone(2-)	CHEBI:16938	c | n	C6H9O9P
M_6pthp		6-Pyruvoyl-5,6,7,8-tetrahydropterin	CHEBI:17804	c | n	C9H11N5O3
M_7a3o4chlstnt		7alpha-Hydroxy-3-oxo-4-cholestenoate	CHEBI:83036	c | e | m	C27H41O4
M_7dhchsterol		7-dehydrocholesterol	CHEBI:17759	c	C27H44O
M_7dhchsterol_lum3		7-dehydro-cholesterol	CHEBI:17759	c	C27H44O
M_7thf		heptaglutamyl folate (THF)	CHEBI:89846	c | m	C54H64N14O27
M_8bppoldm		3,5-bisdiphosphoinositol-1D-myo-inositol (2,3,4,6)tetrakisphosphate(13-)	CHEBI:62924	c | n	C6H7O30P8
M_aacoa		Acetoacetyl-CoA(4-)	CHEBI:15345	c | m	C25H36N7O18P3S
M_aact		Aminoacetone	CHEBI:17906	c | m	C3H8NO
M_abt		L-Arabinitol	CHEBI:18403	c | e	C5H12O5
M_ac		Acetate	CHEBI:15366	c | e | m | n	C2H3O2
M_acac		Acetoacetate	CHEBI:15344	c | e | m	C4H5O3
M_acald		Acetaldehyde	CHEBI:15343	c | e | m	C2H4O
M_acBgamam		N-Acetyl-beta-D-glucosaminylamine	CHEBI:15947	c	C8H16N2O5
M_acBgamamAsn		N4-(Acetyl-beta-D-glucosaminyl)asparagine	CHEBI:17261	c	C12H21N3O8
M_accoa		Acetyl-CoA(4-)	CHEBI:15351	c | m | n	C23H34N7O17P3S
M_acetln		aspartylglycosamine	CHEBI:17261	c | m	C12H21N3O8
M_acgal		N-Acetyl-D-galactosamine	CHEBI:28037	c | e	C8H15NO6
M_acgam		N-Acetyl-D-glucosamine	CHEBI:28009;CHEBI:7169	c | e | m | n	C8H15NO6
